"","team","season","tot_injured_value_lost"
"237","PIT",2020,13.1164137222222
"238","NYJ",2022,13.0290125411765
"239","WAS",2012,12.864739
"240","KC",2023,12.7861296703297
"241","CHI",2020,12.5842259444444
"242","MIA",2010,12.55468
"243","IND",2006,12.545965
"244","LV",2024,12.5084059411765
"245","WAS",2022,12.3600406470588
"246","TEN",2020,12.3190411166667
"247","CLE",2020,12.3054555512821
"248","WAS",2023,12.2216686339869
"249","CIN",2017,12.1496401875
"250","MIN",2013,12.124136
"251","PHI",2017,12.0797461052632
"252","MIA",2016,12.0347155294118
"253","TB",2019,11.986066469697
"254","ARI",2005,11.948538
"255","PHI",2023,11.872931
"256","PIT",2014,11.80985
"257","IND",2015,11.7330615
"258","DET",2016,11.7174242484163
"259","DEN",2021,11.6700519506572
"260","LV",2014,11.521805
"261","MIN",2019,11.4195403888889
"262","PIT",2023,11.2761731944444
"263","IND",2024,11.2506502941176
"264","ARI",2016,11.2449037428571
"265","CLE",2017,11.209526725
"266","GB",2010,11.205675
"267","ATL",2019,10.9086036517857
"268","CIN",2022,10.8505371
"269","CHI",2022,10.7729869411765
"270","DAL",2012,10.608515
"271","CHI",2007,10.596265
"272","NE",2022,10.5677832417876
"273","NO",2017,10.5191064444444
"274","PHI",2022,10.4577502535714
"275","PIT",2018,10.45110425
"276","BAL",2017,10.42787925
"277","CHI",2024,10.2480759663866
"278","KC",2021,10.2477413519608
"279","CAR",2017,10.0839685882353
"280","LAC",2019,10.0797619241453
"281","JAX",2016,9.955321675
"282","ATL",2023,9.88145727254902
"283","CIN",2021,9.87609430952381
"284","LA",2021,9.865097
"285","DAL",2023,9.83220665359477
"286","NE",2015,9.831095
"287","NO",2016,9.81469919444444
"288","MIA",2018,9.772574
"289","MIA",2019,9.711616125
"290","TEN",2024,9.69153794117647
"291","GB",2019,9.62772522222222
"292","LAC",2024,9.52827311111111
"293","ATL",2014,9.426523
"294","ATL",2018,9.25047325
"295","SEA",2008,9.076716
"296","BUF",2022,9.04417626508097
"297","NYJ",2014,8.971885
"298","CAR",2021,8.97086952745098
"299","IND",2018,8.95102966666667
"300","SEA",2023,8.90390395588235
"301","BUF",2014,8.824797
"302","MIA",2009,8.806897
"303","BUF",2019,8.71008535294118
"304","CLE",2018,8.6795515
"305","PIT",2016,8.62426810526316
"306","LV",2018,8.623939125
"307","TB",2013,8.620564
"308","DAL",2014,8.611016
"309","ATL",2013,8.584279
"310","JAX",2015,8.535746
"311","NYJ",2018,8.47983709027778
"312","PIT",2013,8.384578
"313","ATL",2021,8.38064816168929
"314","DEN",2019,8.37233213392857
"315","LA",2020,8.3702514
"316","NYG",2015,8.335409
"317","CHI",2017,8.32710133333333
"318","DAL",2016,8.32108464705882
"319","IND",2020,8.30147013970588
"320","CAR",2018,8.2174836875
"321","LAC",2013,8.153317
"322","CAR",2022,8.09790695365419
"323","CLE",2004,8.062532
"324","NE",2016,8.02941985614035
"325","SEA",2014,8.023418
"326","TEN",2013,8.016522
"327","ARI",2019,7.98218703087607
"328","DET",2018,7.9640244375
"329","DET",2019,7.9512926125
"330","DET",2020,7.84072477051282
"331","BAL",2024,7.82592543859649
"332","WAS",2016,7.800476
"333","WAS",2007,7.796421
"334","BUF",2011,7.769974
"335","KC",2022,7.76837455436508
"336","WAS",2024,7.6839341
"337","ARI",2020,7.659056125
"338","BUF",2016,7.5496436
"339","BUF",2021,7.51880842105263
"340","DEN",2007,7.511765
"341","DEN",2008,7.511765
"342","CHI",2012,7.412106
"343","HOU",2020,7.39663359532828
"344","LV",2016,7.31293458823529
"345","WAS",2014,7.287541
"346","PHI",2021,7.2130394
"347","DEN",2011,7.090984
"348","JAX",2022,7.07372815789474
"349","NYG",2018,7.06825417992424
"350","SEA",2024,7.04803788235294
"351","BUF",2009,7.024601
"352","DET",2013,6.930946
"353","MIN",2017,6.88314716666667
"354","DET",2010,6.823475
"355","PHI",2018,6.81767144444444
"356","HOU",2007,6.782923
"357","MIA",2013,6.769138
"358","SF",2008,6.748374
"359","NE",2010,6.731473
"360","LAC",2021,6.57684181283422
"361","LV",2013,6.547442
"362","LAC",2018,6.47080833333333
"363","DEN",2012,6.391013
"364","SF",2014,6.345649
"365","DEN",2016,6.3403140625
"366","CIN",2015,6.338874
"367","DET",2009,6.30437
"368","ARI",2024,6.29597094117647
"369","BAL",2016,6.26165525
"370","HOU",2014,6.238833
"371","BAL",2018,6.13703135294118
"372","NO",2012,6.123765
"373","PHI",2015,6.077751
"374","NE",2018,5.81097268421053
"375","LA",2019,5.80412954166667
"376","HOU",2009,5.797372
"377","MIA",2014,5.760902
"378","CHI",2018,5.75563394117647
"379","PIT",2011,5.698124
"380","PIT",2010,5.645231
"381","ATL",2024,5.64489
"382","WAS",2013,5.331105
"383","LA",2014,5.315137
"384","TB",2017,5.310964875
"385","LAC",2017,5.28331960416667
"386","KC",2018,5.26760333333333
"387","IND",2012,5.261915
"388","CIN",2016,5.19646975
"389","BAL",2013,5.183735
"390","SEA",2016,5.16555816666667
"391","DAL",2018,5.06369711111111
